10, 0.237, 49
11, 0.273, 56
12, 0.354, 64
13, 0.383, 72
14, 0.399, 81
15, 0.414, 90
16, 0.495, 100
17, 0.551, 110
18, 0.666, 121
19, 0.718, 132
20, 0.847, 144
21, 0.854, 156
22, 1.036, 169
23, 1.169, 182
24, 1.309, 196
25, 1.338, 210
26, 1.539, 225
27, 1.6, 240
28, 1.894, 256
29, 2.009, 272
30, 2.332, 289
31, 2.445, 306
32, 2.653, 324
33, 3.134, 342
34, 3.126, 361
35, 3.344, 380
36, 3.476, 400
37, 3.98, 420
38, 4.126, 441
39, 4.208, 462
40, 4.88, 484
41, 5.193, 506
42, 5.449, 529
43, 7.706, 552
44, 8.358, 576
45, 7.091, 600
46, 7.243, 625
47, 7.958, 650
48, 8.358, 676
49, 8.927, 702
50, 9.285, 729
51, 8.989, 756
52, 10.082, 784
53, 10.456, 812
54, 11.086, 841
55, 11.539, 870
56, 12.924, 900
57, 13.437, 930
58, 14.618, 961
59, 14.59, 992
60, 16.52, 1024
61, 16.374, 1056
62, 17.866, 1089
63, 18.3, 1122
64, 19.608, 1156
65, 26.69, 1190
66, 20.832, 1225
67, 20.847, 1260
68, 23.089, 1296
69, 24.526, 1332
70, 24.657, 1369
71, 24.73, 1406
72, 27.194, 1444
73, 27.905, 1482
74, 29.664, 1521
75, 27.942, 1560
76, 30.101, 1600
77, 30.639, 1640
78, 33.899, 1681
79, 33.205, 1722
80, 34.471, 1764
81, 37.477, 1806
82, 38.535, 1849
83, 38.583, 1892
84, 40.862, 1936
85, 45.088, 1980
86, 47.835, 2025
87, 47.694, 2070
88, 46.435, 2116
89, 48.138, 2162
90, 49.907, 2209
91, 56.868, 2256
92, 53.445, 2304
93, 55.636, 2352
94, 58.657, 2401
95, 58.909, 2450
96, 62.814, 2500
97, 63.653, 2550
98, 67.384, 2601
99, 68.555, 2652
