0.009, 2
0.012, 4
0.015, 6
0.028, 9
0.034, 12
0.051, 16
0.062, 20
0.091, 25
0.105, 30
0.144, 36
0.013, 4
0.017, 6
0.032, 9
0.038, 12
0.057, 16
0.067, 20
0.099, 25
0.116, 30
0.158, 36
0.178, 42
0.016, 6
0.03, 9
0.039, 12
0.06, 16
0.067, 20
0.096, 25
0.094, 30
0.181, 36
0.176, 42
0.219, 49
0.023, 8
0.041, 12
0.062, 16
0.072, 20
0.098, 25
0.113, 30
0.151, 36
0.17, 42
0.222, 49
0.252, 56
0.026, 10
0.046, 15
0.078, 20
0.094, 25
0.113, 30
0.149, 36
0.173, 42
0.224, 49
0.257, 56
0.324, 64
0.031, 12
0.051, 18
0.073, 24
0.105, 30
0.143, 36
0.169, 42
0.221, 49
0.237, 56
0.292, 64
0.336, 72
0.031, 14
0.053, 21
0.077, 28
0.106, 35
0.142, 42
0.188, 49
0.22, 56
0.282, 64
0.322, 72
0.405, 81
0.034, 16
0.06, 24
0.086, 32
0.118, 40
0.158, 48
0.211, 56
0.277, 64
0.312, 72
0.39, 81
0.571, 90
0.041, 18
0.072, 27
0.11, 36
0.155, 45
0.197, 54
0.282, 63
0.361, 72
0.469, 81
0.421, 90
0.51, 100
0.039, 20
0.061, 30
0.093, 40
0.133, 50
0.182, 60
0.247, 70
0.317, 80
0.384, 90
0.492, 100
0.55, 110
0.013, 4
0.014, 6
0.023, 9
0.027, 12
0.04, 16
0.043, 20
0.059, 25
0.069, 30
0.095, 36
0.104, 42
0.015, 6
0.023, 9
0.026, 12
0.037, 16
0.044, 20
0.063, 25
0.071, 30
0.097, 36
0.108, 42
0.143, 49
0.017, 8
0.026, 12
0.037, 16
0.044, 20
0.061, 25
0.069, 30
0.095, 36
0.105, 42
0.143, 49
0.157, 56
0.019, 10
0.031, 15
0.052, 20
0.073, 25
0.084, 30
0.119, 36
0.135, 42
0.18, 49
0.177, 56
0.206, 64
0.023, 12
0.035, 18
0.051, 24
0.07, 30
0.094, 36
0.108, 42
0.141, 49
0.156, 56
0.204, 64
0.222, 72
0.025, 14
0.038, 21
0.056, 28
0.079, 35
0.105, 42
0.138, 49
0.177, 56
0.2, 64
0.22, 72
0.277, 81
0.026, 16
0.042, 24
0.062, 32
0.086, 40
0.117, 48
0.153, 56
0.197, 64
0.219, 72
0.274, 81
0.304, 90
0.027, 18
0.046, 27
0.068, 36
0.095, 45
0.128, 54
0.182, 63
0.218, 72
0.274, 81
0.301, 90
0.373, 100
0.03, 20
0.049, 30
0.072, 40
0.103, 50
0.14, 60
0.195, 70
0.245, 80
0.301, 90
0.37, 100
0.422, 110
0.034, 22
0.054, 33
0.082, 44
0.114, 55
0.157, 66
0.205, 77
0.271, 88
0.325, 99
0.393, 110
0.495, 121
0.009, 2
0.008, 2
0.008, 2
0.009, 2
0.008, 2
0.011, 2
0.01, 2
0.012, 2
0.012, 2
0.012, 2
0.008, 3
0.009, 3
0.01, 3
0.01, 3
0.01, 3
0.011, 3
0.012, 3
0.012, 3
0.012, 3
0.013, 3
0.014, 5
0.015, 5
0.017, 5
0.017, 5
0.017, 5
0.019, 5
0.019, 5
0.019, 5
0.02, 5
0.021, 5
0.017, 7
0.017, 7
0.017, 7
0.018, 7
0.02, 7
0.019, 7
0.02, 7
0.021, 7
0.021, 7
0.023, 7
0.025, 10
0.027, 10
0.027, 10
0.028, 10
0.028, 10
0.03, 10
0.031, 10
0.032, 10
0.033, 10
0.033, 10
0.028, 13
0.03, 13
0.031, 13
0.032, 13
0.032, 13
0.033, 13
0.034, 13
0.035, 13
0.036, 13
0.037, 13
0.042, 17
0.044, 17
0.045, 17
0.046, 17
0.047, 17
0.049, 17
0.049, 17
0.05, 17
0.051, 17
0.054, 17
0.048, 21
0.05, 21
0.051, 21
0.053, 21
0.057, 21
0.061, 21
0.055, 21
0.056, 21
0.058, 21
0.059, 21
0.068, 26
0.069, 26
0.071, 26
0.072, 26
0.073, 26
0.076, 26
0.077, 26
0.079, 26
0.081, 26
0.083, 26
0.077, 31
0.078, 31
0.079, 31
0.081, 31
0.082, 31
0.084, 31
0.086, 31
0.087, 31
0.096, 31
0.114, 31
0.011, 4
0.014, 5
0.015, 6
0.016, 7
0.018, 8
0.019, 9
0.021, 10
0.024, 11
0.026, 12
0.028, 13
0.013, 6
0.016, 7
0.016, 8
0.021, 9
0.025, 10
0.026, 11
0.028, 12
0.03, 13
0.034, 14
0.035, 15
0.017, 8
0.02, 9
0.02, 10
0.028, 11
0.027, 12
0.029, 13
0.03, 14
0.033, 15
0.035, 16
0.036, 17
0.019, 10
0.021, 11
0.022, 12
0.03, 13
0.031, 14
0.031, 15
0.033, 16
0.034, 17
0.037, 18
0.037, 19
0.021, 12
0.024, 13
0.024, 14
0.033, 15
0.058, 16
0.036, 17
0.034, 18
0.037, 19
0.038, 20
0.04, 21
0.024, 14
0.025, 15
0.027, 16
0.036, 17
0.037, 18
0.039, 19
0.041, 20
0.039, 21
0.04, 22
0.044, 23
0.026, 16
0.027, 17
0.028, 18
0.04, 19
0.041, 20
0.042, 21
0.044, 22
0.045, 23
0.042, 24
0.044, 25
0.029, 18
0.03, 19
0.031, 20
0.043, 21
0.044, 22
0.045, 23
0.047, 24
0.049, 25
0.049, 26
0.047, 27
0.031, 20
0.032, 21
0.033, 22
0.046, 23
0.047, 24
0.049, 25
0.051, 26
0.051, 27
0.053, 28
0.054, 29
0.034, 22
0.035, 23
0.036, 24
0.048, 25
0.05, 26
0.052, 27
0.054, 28
0.055, 29
0.057, 30
0.058, 31
0.007, 2
0.01, 3
0.012, 4
0.015, 5
0.018, 6
0.02, 7
0.022, 8
0.025, 9
0.027, 10
0.031, 11
