10, 0.168, 190
11, 0.153, 209
12, 0.187, 228
13, 0.217, 247
14, 0.251, 266
15, 0.297, 285
16, 0.359, 304
17, 0.41, 323
18, 0.477, 342
19, 0.557, 361
20, 0.594, 380
21, 0.631, 400
22, 0.667, 420
23, 0.749, 441
24, 0.808, 462
25, 0.959, 484
26, 0.926, 506
27, 1.048, 529
28, 1.128, 552
29, 1.263, 576
30, 1.292, 600
31, 1.576, 625
32, 1.5, 650
33, 2.251, 676
34, 1.843, 702
35, 2.152, 729
36, 1.996, 756
37, 2.26, 784
38, 2.259, 812
39, 2.791, 841
40, 2.692, 870
41, 3.271, 900
42, 3.031, 930
43, 3.34, 961
44, 3.296, 992
45, 3.561, 1024
46, 3.735, 1056
47, 4.106, 1089
48, 4.31, 1122
49, 4.518, 1156
50, 4.687, 1190
51, 5.07, 1225
52, 5.404, 1260
53, 5.617, 1296
54, 5.674, 1332
55, 6.792, 1369
56, 6.863, 1406
57, 6.746, 1444
58, 7.042, 1482
59, 7.507, 1521
60, 7.308, 1560
61, 8.06, 1600
62, 7.65, 1640
63, 8.32, 1681
64, 8.537, 1722
65, 9.818, 1764
66, 9.473, 1806
67, 12.614, 1849
68, 10.64, 1892
69, 11.137, 1936
70, 11.164, 1980
71, 12.396, 2025
72, 13.303, 2070
73, 12.818, 2116
74, 12.762, 2162
75, 14.226, 2209
76, 14.099, 2256
77, 14.902, 2304
78, 15.104, 2352
79, 15.877, 2401
80, 16.075, 2450
81, 18.471, 2500
82, 16.946, 2550
83, 18.558, 2601
84, 18.625, 2652
85, 19.457, 2704
86, 19.956, 2756
87, 21.089, 2809
88, 21.605, 2862
89, 22.645, 2916
90, 23.344, 2970
91, 27.563, 3025
92, 24.095, 3080
93, 25.468, 3136
94, 25.616, 3192
95, 29.025, 3249
96, 28.876, 3306
97, 28.852, 3364
98, 29.953, 3422
99, 30.718, 3481
